iter	Passed	Remaining
196	4581	18675
197	4601	18638
198	4610	18556
199	4628	18513
200	4644	18462
201	4653	18383
202	4670	18338
203	4690	18300
204	4699	18224
205	4717	18183
206	4735	18142
207	4752	18096
208	4770	18054
209	4788	18013
210	4805	17970
211	4825	17938
212	4843	17894
213	4855	17835
214	4876	17806
215	4899	17782
216	4924	17769
217	4948	17752
218	4971	17729
219	4992	17700
220	5014	17673
221	5039	17660
222	5062	17637
223	5084	17613
224	5105	17586
225	5123	17546
226	5142	17511
227	5161	17477
228	5170	17409
229	5187	17366
230	5206	17333
231	5225	17299
232	5246	17271
233	5265	17235
234	5282	17197
235	5302	17164
236	5320	17128
237	5355	17145
238	5375	17116
239	5396	17088
240	5417	17060
241	5434	17023
242	5452	16984
243	5469	16947
244	5490	16918
245	5510	16891
246	5545	16907
247	5583	16930
248	5610	16920
249	5631	16894
250	5658	16884
251	5681	16863
252	5711	16863
253	5759	16916
254	5783	16896
255	5802	16864
256	5823	16835
257	5851	16827
258	5883	16833
259	5908	16815
260	5938	16814
261	5967	16809
262	5999	16811
263	6030	16812
264	6062	16816
265	6086	16795
266	6110	16776
267	6127	16735
268	6146	16703
269	6169	16680
270	6195	16667
271	6217	16641
272	6243	16626
273	6263	16597
274	6284	16566
275	6307	16546
276	6328	16518
277	6353	16500
278	6374	16473
279	6395	16445
280	6420	16428
281	6440	16398
282	6466	16382
283	6488	16359
284	6515	16347
285	6536	16318
286	6564	16309
287	6586	16284
288	6614	16274
289	6635	16244
290	6662	16232
291	6684	16207
292	6710	16192
293	6733	16169
294	6760	16156
295	6782	16130
296	6807	16113
297	6832	16095
298	6865	16095
299	6894	16086
300	6924	16081
301	6956	16079
302	6972	16038
303	7001	16030
304	7026	16010
305	7053	15997
306	7073	15966
307	7098	15948
308	7121	15925
309	7147	15908
310	7169	15883
311	7189	15852
312	7216	15838
313	7237	15811
314	7263	15795
315	7285	15769
316	7311	15753
317	7331	15724
318	7357	15707
319	7378	15679
320	7401	15656
321	7423	15630
322	7445	15605
323	7471	15589
324	7493	15562
325	7517	15541
326	7542	15523
327	7567	15504
328	7591	15483
329	7613	15458
330	7637	15435
331	7660	15412
332	7677	15377
333	7701	15357
334	7727	15340
335	7750	15316
336	7777	15300
337	7800	15278
338	7832	15271
339	7864	15265
340	7898	15263
341	7929	15256
342	7962	15251
343	7992	15240
344	8021	15229
345	8045	15206
346	8067	15181
347	8091	15160
348	8115	15137
349	8136	15111
350	8157	15083
351	8184	15067
352	8205	15039
353	8230	15020
354	8251	14991
355	8271	14962
356	8298	14946
357	8318	14918
358	8342	14896
359	8364	14869
360	8380	14834
361	8401	14807
362	8430	14793
363	8451	14766
364	8474	14743
365	8496	14718
366	8522	14699
367	8545	14676
368	8571	14657
369	8595	14635
370	8622	14618
371	8645	14594
372	8670	14574
373	8693	14551
374	8717	14529
375	8741	14506
376	8768	14490
377	8801	14482
378	8834	14476
379	8866	14465
380	8899	14457
381	8924	14438
382	8948	14416
383	8981	14407
384	9007	14389
385	9028	14361
386	9048	14332
387	9075	14314
388	9097	14289
389	9122	14268
390	9143	14241
391	9163	14213
392	9190	14195
393	9212	14169
394	9235	14144
395	9255	14116
396	9281	14097
397	9303	14071
398	9324	14045
399	9350	14025
400	9366	13991
401	9387	13963
402	9412	13943
403	9433	13916
404	9458	13896
405	9482	13873
406	9505	13848
407	9528	13825
408	9549	13799
409	9578	13784
410	9600	13758
411	9625	13737
412	9646	13711
413	9669	13687
414	9694	13665
415	9716	13640
416	9742	13621
417	9775	13611
418	9805	13597
419	9837	13584
420	9869	13573
421	9895	13553
422	9921	13533
423	9951	13519
424	9977	13499
425	9999	13473
426	10023	13450
427	10046	13426
428	10073	13408
429	10097	13385
430	10124	13366
431	10148	13343
432	10175	13324
433	10197	13298
434	10222	13277
435	10243	13250
436	10269	13231
437	10291	13205
438	10314	13181
439	10338	13158
440	10360	13133
441	10384	13109
442	10407	13086
443	10431	13063
444	10454	13038
445	10480	13018
446	10501	12991
447	10527	12971
448	10551	12948
449	10579	12930
450	10619	12926
451	10654	12917
452	10676	12892
453	10699	12867
454	10733	12856
455	10758	12834
456	10785	12815
457	10815	12798
458	10848	12786
459	10877	12769
460	10901	12745
461	10929	12727
462	10952	12702
463	10974	12677
464	11000	12656
465	11034	12645
466	11056	12619
467	11079	12595
468	11102	12570
469	11125	12545
470	11150	12523
471	11171	12497
472	11197	12476
473	11220	12451
474	11244	12428
475	11266	12402
476	11290	12379
477	11311	12352
478	11334	12328
479	11360	12306
480	11382	12281
481	11408	12260
482	11431	12236
483	11455	12212
484	11478	12189
485	11506	12169
486	11530	12145
487	11555	12124
488	11576	12097
489	11605	12079
490	11628	12054
491	11655	12034
492	11667	11999
493	11693	11977
494	11726	11963
495	11756	11946
496	11787	11929
497	11820	11915
498	11849	11897
499	11877	11877
500	11903	11856
501	11928	11833
502	11949	11807
503	11974	11784
504	11997	11760
505	12023	11738
506	12044	11711
507	12065	11685
508	12091	11663
509	12114	11639
510	12138	11616
511	12160	11590
512	12187	11569
513	12199	11534
514	12220	11508
515	12240	11481
516	12266	11460
517	12287	11433
518	12307	11406
519	12331	11382
520	12351	11355
521	12379	11336
522	12400	11309
523	12426	11288
524	12445	11260
525	12466	11233
526	12492	11212
527	12512	11185
528	12531	11157
529	12560	11138
530	12580	11111
531	12606	11089
532	12628	11064
533	12654	11042
534	12687	11027
535	12719	11010
536	12744	10988
537	12777	10972
538	12805	10952
539	12829	10929
540	12860	10911
541	12883	10886
542	12898	10855
543	12923	10833
544	12940	10803
545	12956	10773
546	12978	10748
547	13002	10724
548	13024	10699
549	13045	10673
550	13060	10642
551	13083	10618
552	13106	10594
553	13132	10572
554	13156	10549
555	13183	10527
556	13203	10501
557	13226	10476
558	13248	10451
559	13270	10426
560	13296	10404
561	13317	10379
562	13339	10353
563	13362	10329
564	13381	10302
565	13404	10278
566	13427	10254
567	13453	10232
568	13474	10206
569	13499	10183
570	13521	10158
571	13541	10132
572	13565	10108
573	13585	10082
574	13606	10056
575	13638	10039
576	13670	10022
577	13702	10004
578	13733	9985
579	13765	9968
580	13795	9948
581	13819	9924
582	13847	9904
583	13866	9877
584	13891	9854
585	13912	9829
586	13930	9801
587	13958	9780
588	13977	9753
589	13997	9727
590	14024	9705
591	14046	9680
592	14069	9656
593	14091	9631
594	14118	9609
595	14140	9584
596	14163	9561
597	14189	9538
598	14213	9515
599	14238	9492
600	14259	9467
601	14280	9441
602	14302	9416
603	14330	9395
604	14356	9373
605	14379	9349
606	14404	9325
607	14426	9301
608	14446	9275
609	14472	9253
610	14493	9227
611	14513	9201
612	14540	9179
613	14561	9154
614	14587	9131
615	14617	9112
616	14647	9092
617	14672	9069
618	14705	9051
619	14737	9032
620	14767	9012
621	14799	8993
622	14819	8967
623	14845	8945
624	14866	8919
625	14888	8895
626	14913	8871
627	14934	8846
628	14956	8821
629	14978	8796
630	14994	8768
631	15014	8742
632	15038	8719
633	15060	8694
634	15073	8664
635	15096	8639
636	15120	8616
637	15140	8590
638	15162	8565
639	15172	8534
640	15185	8504
641	15206	8479
642	15232	8457
643	15255	8433
644	15282	8411
645	15303	8386
646	15325	8361
647	15349	8338
648	15370	8313
649	15395	8290
650	15416	8264
651	15439	8240
652	15465	8218
653	15514	8207
654	15535	8182
655	15568	8164
656	15594	8141
657	15618	8118
658	15649	8097
659	15678	8076
660	15703	8053
661	15728	8030
662	15749	8005
663	15770	7980
664	15794	7956
665	15817	7932
666	15843	7909
667	15865	7885
668	15891	7862
669	15913	7838
670	15936	7813
671	15962	7791
672	15982	7765
673	16007	7742
674	16029	7717
675	16053	7694
676	16076	7669
677	16100	7646
678	16122	7621
679	16145	7597
680	16170	7574
681	16192	7549
682	16221	7528
683	16248	7506
684	16272	7482
685	16300	7461
686	16327	7438
687	16348	7413
688	16374	7390
689	16400	7368
690	16423	7344
691	16448	7320
692	16480	7300
693	16515	7282
694	16549	7262
695	16581	7242
696	16622	7225
697	16653	7205
698	16680	7182
699	16703	7158
700	16726	7134
701	16750	7110
702	16775	7087
703	16799	7063
704	16815	7036
705	16837	7011
706	16860	6987
707	16874	6959
708	16895	6934
709	16924	6912
710	16947	6888
711	16974	6866
712	16997	6841
713	17020	6817
714	17042	6793
715	17058	6766
716	17083	6743
717	17106	6718
718	17134	6696
719	17158	6672
720	17184	6649
721	17211	6627
722	17234	6603
723	17260	6580
724	17280	6554
725	17303	6530
726	17330	6507
727	17353	6483
728	17378	6460
729	17401	6436
730	17426	6412
731	17456	6391
732	17489	6370
733	17515	6347
734	17548	6327
735	17575	6304
736	17610	6284
737	17643	6263
738	17667	6239
739	17692	6216
740	17713	6191
741	17766	6177
742	17833	6168
743	17880	6152
744	17942	6141
745	17971	6118
746	17991	6093
747	18012	6068
748	18034	6043
749	18057	6019
750	18080	5994
751	18099	5969
752	18118	5943
753	18139	5918
754	18163	5893
755	18182	5868
756	18205	5843
757	18228	5819
758	18249	5794
759	18279	5772
760	18305	5748
761	18332	5725
762	18352	5700
763	18376	5676
764	18395	5650
765	18416	5625
766	18446	5603
767	18475	5581
768	18505	5558
769	18531	5535
770	18561	5513
771	18591	5490
772	18622	5468
773	18644	5443
774	18671	5420
775	18692	5395
776	18717	5371
777	18738	5347
778	18760	5322
779	18785	5298
780	18805	5273
781	18826	5248
782	18848	5223
783	18868	5198
784	18887	5172
785	18910	5148
786	18933	5124
787	18954	5099
788	18978	5075
789	18993	5049
790	19009	5022
791	19026	4996
792	19045	4971
793	19064	4946
794	19083	4920
795	19106	4896
796	19127	4871
797	19146	4846
798	19168	4822
799	19190	4797
800	19209	4772
801	19231	4748
802	19252	4723
803	19271	4698
804	19293	4673
805	19315	4649
806	19336	4624
807	19362	4601
808	19385	4576
809	19408	4552
810	19428	4527
811	19447	4502
812	19467	4477
813	19487	4452
814	19509	4428
815	19532	4404
816	19553	4379
817	19573	4354
818	19594	4330
819	19622	4307
820	19642	4282
821	19667	4258
822	19687	4234
823	19711	4210
824	19732	4185
825	19754	4161
826	19772	4136
827	19804	4113
828	19827	4089
829	19850	4065
830	19873	4041
831	19895	4017
832	19917	3992
833	19942	3969
834	19963	3944
835	19981	3919
836	20000	3894
837	20024	3871
838	20046	3846
839	20074	3823
840	20104	3800
841	20135	3778
842	20171	3756
843	20204	3734
844	20228	3710
845	20267	3689
846	20478	3699
847	20516	3677
848	20550	3654
849	20582	3632
850	20606	3607
851	20628	3583
852	20658	3560
853	20679	3535
854	20704	3511
855	20725	3486
856	20738	3460
857	20756	3435
858	20776	3410
859	20800	3386
860	20820	3361
861	20841	3336
862	20865	3312
863	20884	3287
864	20907	3262
865	20931	3238
866	20950	3213
867	20969	3188
868	20995	3165
869	21022	3141
870	21051	3117
871	21082	3094
872	21108	3070
873	21133	3046
874	21161	3023
875	21183	2998
876	21212	2975
877	21241	2951
878	21264	2927
879	21295	2903
880	21327	2880
881	21366	2858
882	21394	2834
883	21425	2811
884	21457	2788
885	21486	2764
886	21516	2741
887	21540	2716
888	21561	2692
889	21572	2666
890	21593	2641
891	21616	2617
892	21638	2592
893	21660	2568
894	21681	2543
895	21701	2518
896	21722	2494
897	21743	2469
898	21761	2444
899	21782	2420
900	21806	2396
901	21827	2371
902	21847	2346
903	21867	2322
904	21875	2296
905	21896	2271
906	21917	2247
907	21938	2222
908	21956	2198
909	21975	2173
910	21997	2149
911	22020	2124
912	22038	2100
913	22061	2075
914	22082	2051
915	22102	2026
916	22125	2002
917	22145	1978
918	22165	1953
919	22187	1929
920	22206	1904
921	22226	1880
922	22246	1855
923	22270	1831
924	22296	1807
925	22323	1783
926	22351	1760
927	22391	1737
928	22453	1716
929	22505	1693
930	22539	1670
931	22581	1647
932	22614	1623
933	22636	1599
934	22659	1575
935	22681	1550
936	22693	1525
937	22711	1501
938	22732	1476
939	22755	1452
940	22778	1428
941	22803	1404
942	22822	1379
943	22844	1355
944	22866	1330
945	22885	1306
946	22906	1281
947	22925	1257
948	22949	1233
949	22970	1208
950	22990	1184
951	23010	1160
952	23028	1135
953	23049	1111
954	23068	1087
955	23087	1062
956	23108	1038
957	23127	1013
958	23146	989
959	23165	965
960	23189	941
961	23209	916
962	23228	892
963	23247	868
964	23277	844
965	23305	820
966	23328	796
967	23359	772
968	23388	748
969	23417	724
970	23442	700
971	23471	676
972	23490	651
973	23508	627
974	23532	603
975	23538	578
976	23557	554
977	23581	530
978	23603	506
979	23624	482
980	23647	457
981	23668	433
982	23691	409
983	23712	385
984	23734	361
985	23758	337
986	23776	313
987	23799	289
988	23823	264
989	23844	240
990	23863	216
991	23885	192
992	23906	168
993	23925	144
994	23945	120
995	23969	96
996	23983	72
997	24003	48
998	24025	24
999	24052	0
